"","KLCODE","DATE","source","REGIO","SUBREGIO","AGE","SEX","PM","MASS","BILL","WING","TOTHD","TARS","TATO","MONTH","jdate","SS"
"23401","R4WBRW",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23402","R5YRBY",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23403","R6YRBY",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23404","R7RRRR",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23407","Y6YRYW",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23417","L6RYLB",2014-03-04,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,63,"Lap"
"23418","R4RWYB",2014-03-04,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,63,"Lap"
"23419","L6RYLB",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23420","R3BYYB",2014-03-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,64,"Lap"
"23421","R3YYRR",2014-03-06,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,65,"Lap"
"23422","R6WWRB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23425","L2YLBB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23426","L4LYRB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23427","R1BRRR",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23428","Y6YRYW",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23429","R1BBRR",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23430","Y3YRRY",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23431","R3BWYB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23433","Y7WWYY",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23434","R3RBYB",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23435","R6WBWR",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23436","R4BWRW",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23437","L2YLBB",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23438","L2YLBB",2014-03-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,68,"Lap"
"23439","R3WYRB",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23440","R1BRWY",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23442","Y1YWRY",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23443","R2YYRW",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23444","Y5RRBW",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23445","Y7WWYW",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23447","L2YLBB",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23448","L2LYBB",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
