"","KLCODE","DATE","source","REGIO","SUBREGIO","AGE","SEX","PM","MASS","BILL","WING","TOTHD","TARS","TATO","MONTH","jdate","SS"
"20","L1YLBY",2012-08-18,"RIN","WW","rich",3,"m","j",252,72.2,218,110,48.8,83,8,231,"Lap"
"22","Y2YWRY",2003-07-30,"RIN","WW","rich",3,"m","n",238,83.2,212,999,999,89,7,211,"Lap"
"28","Y2YYWW",2003-07-29,"RIN","WW","rich",2,"f","j",340,103.4,214,999,999,93,7,210,"Lap"
"30","Y2YYBW",2003-07-30,"RIN","WW","rich",3,"f","j",324,93.5,225,999,999,98,7,211,"Lap"
"32","R1BYYR",2006-07-28,"RIN","WW","rich",3,"m","j",283,82.8,215,999,55.2,92,7,209,"Lap"
"34","R3BWYR",2010-08-13,"RIN","WW","rich",3,"f","0",352,105,234,144,59.8,96,8,225,"Lap"
"38","R3BWWB",2010-09-12,"RIN","WW","rich",3,"m","n",331,83.6,222,123.5,58.2,95,9,255,"Lap"
"41","Y3YRWB",2003-07-31,"RIN","WW","rich",2,"m","j",330,81.8,212,999,999,90,7,212,"Lap"
"43","Y1YWYY",2001-07-26,"RIN","WW","rich",2,"f","j",329,98,215,999,53.3,93,7,207,"Lap"
"44","Y1YYBR",2001-07-25,"RIN","WW","rich",3,"m","j",297,77,216,113,54.9,90,7,206,"Lap"
"45","Y1YYBW",2001-07-24,"RIN","WW","rich",3,"m","n",249,78,218,115,52.1,94,7,205,"Lap"
"46","Y2RYRB",2003-03-03,"RIN","WW","rich",2,"f","n",340,98,220,137,57.3,93,3,62,"Lap"
"53","Y3YRWR",2003-07-31,"RIN","WW","rich",3,"f","j",357,111.7,233,999,999,102,7,212,"Lap"
"54","Y1YWWW",2001-07-28,"RIN","WW","rich",3,"f","j",315,102.5,213,999,59.5,98,7,209,"Lap"
"55","Y3YRRY",2003-08-30,"RIN","WW","rich",3,"m","j",275,84.2,223,119,53.7,91,8,242,"Lap"
"57","Y3YRRR",2003-08-02,"RIN","WW","rich",3,"f","n",329,108.4,232,999,999,97,8,214,"Lap"
"66","Y2YYRR",2003-07-30,"RIN","WW","rich",3,"m","j",289,76.2,223,999,999,85,7,211,"Lap"
"68","L4LYRB",2011-08-01,"RIN","WW","rich",3,"m","n",213,77.7,212,116.2,49.6,83,8,213,"Lap"
"69","L4LYRL",2011-08-01,"RIN","WW","rich",3,"m","j",291,81.1,223,119.3,52.4,89,8,213,"Lap"
"73","Y2YYWY",2003-07-30,"RIN","WW","rich",3,"f","j",341,99.4,232,999,999,93,7,211,"Lap"
"75","Y2YYWR",2003-07-29,"RIN","WW","rich",2,"m","j",284,76.6,999,999,999,92,7,210,"Lap"
"77","Y1YWYR",2001-07-28,"RIN","WW","rich",3,"f","n",325,98.3,219,999,56.2,95,7,209,"Lap"
"78","Y2YYRW",2003-07-30,"RIN","WW","rich",3,"f","n",320,92.1,225,999,999,89,7,211,"Lap"
"81","Y2YYBY",2003-07-30,"RIN","WW","rich",3,"f","j",339,113.8,238,999,999,94,7,211,"Lap"
"83","Y3YWBR",2003-07-31,"RIN","WW","rich",3,"m","n",281,71.2,213,999,999,82,7,212,"Lap"
"91","Y2YYRY",2003-07-30,"RIN","WW","rich",3,"m","j",291,80.9,212,999,999,86,7,211,"Lap"
"97","R4BWRW",2010-08-11,"RIN","WW","rich",2,"m","j",286,76.9,999,117,52.2,88,8,223,"Lap"
"109","R1BYWB",2006-07-31,"RIN","WW","rich",3,"f","j",999,100.1,227,999,58.9,98,7,212,"Lap"
"112","R1BYWW",2006-07-30,"RIN","WW","rich",2,"m","j",999,77.4,202,999,51,86,7,211,"Lap"
"127","Y7WWYW",2005-10-02,"RIN","WW","rich",3,"m","j",269,79,212,114,49.6,84,10,275,"Lap"
"128","Y7WWYY",2005-10-01,"RIN","WW","rich",3,"f","j",304,98.5,230,138,58,94,10,274,"Lap"
"130","Y5WRWB",2004-08-18,"RIN","WW","rich",3,"f","j",320,105.1,233,144,59.5,96,8,231,"Lap"
"131","Y7YYYW",2004-10-13,"RIN","WW","rich",3,"f","j",327,101.2,999,140,57.3,97,10,287,"Lap"
"134","Y6YRWW",2007-10-13,"RIN","WW","rich",3,"f","n",353,104.9,221,143,54.2,93,10,286,"Lap"
"135","Y6YRYB",2007-10-10,"RIN","WW","rich",3,"f","j",313,101.3,999,139,57.3,94,10,283,"Lap"
"137","Y5WRWW",2004-08-18,"RIN","WW","rich",3,"m","j",299,83.2,222,122,53.3,89,8,231,"Lap"
"142","Y6YYYW",2006-10-23,"RIN","WW","rich",3,"f","j",359,95.3,999,135.5,59.2,94,10,296,"Lap"
"147","L4BRBR",2013-08-14,"RIN","WW","rich",3,"f","j",360,95.1,227,136,57.9,98,8,226,"Lap"
"148","Y7WWYB",2005-10-03,"RIN","WW","rich",3,"m","n",263,78.8,214,116,51.9,86,10,276,"Lap"
"149","L4BRBY",2013-08-09,"RIN","WW","rich",3,"f","j",303,94.9,219,134,51.8,89,8,221,"Lap"
"154","Y5BRBW",2011-09-02,"RIN","WW","rich",3,"f","j",350,105.1,219,145,60.1,99,9,245,"Lap"
"158","Y5BRRB",2011-09-26,"RIN","WW","rich",3,"m","j",292,79,218,117,53,88,9,269,"Lap"
"160","Y7WWWW",2005-10-03,"RIN","WW","rich",3,"f","n",331,90.3,227,128,57,94,10,276,"Lap"
"164","Y2RYRY",2003-03-31,"RIN","WW","grie",3,"f","n",333,105.7,232,145,59.4,98,3,90,"Lap"
"165","Y1RBWB",2002-03-12,"RIN","WW","grie",3,"f","n",290,97.6,220,133,52.3,88,3,71,"Lap"
"166","Y1RBRR",2002-03-12,"RIN","WW","grie",3,"f","n",322,96.8,232,136,57.5,97,3,71,"Lap"
"167","R4WWYB",2008-02-08,"RIN","WW","grie",3,"m","n",240,80.1,220,118,51.8,88,2,39,"Lap"
"168","R1BRWY",2008-08-29,"RIN","WW","grie",3,"m","j",256,72.7,211,109,50.1,86,8,242,"Lap"
"169","Y2RYBB",2003-03-31,"RIN","WW","grie",3,"m","n",282,78.6,215,115,50.9,86,3,90,"Lap"
"171","Y1RBWY",2002-03-12,"RIN","WW","grie",3,"f","n",326,102.2,219,141,54.1,92,3,71,"Lap"
"172","Y2RYRW",2003-03-31,"RIN","WW","grie",3,"f","n",340,102.2,232,141,54.7,91,3,90,"Lap"
"173","R4WWYR",2008-02-08,"RIN","WW","grie",3,"m","n",261,80.8,213,119.4,51.6,89,2,39,"Lap"
"174","Y1YWRY",2002-03-12,"RIN","WW","grie",3,"m","n",285,78.2,224,117,54.6,93,3,71,"Lap"
"175","Y1YWRW",2002-03-12,"RIN","WW","grie",3,"f","n",320,96.5,221,135,57.5,97,3,71,"Lap"
"176","Y1YWRB",2002-03-12,"RIN","WW","grie",3,"m","n",279,82.5,214,119,54.3,89,3,71,"Lap"
"177","Y1YWBY",2002-03-12,"RIN","WW","grie",3,"f","n",336,96.7,218,134,57.6,95,3,71,"Lap"
"178","Y1YWBB",2002-03-12,"RIN","WW","grie",3,"f","n",330,107.2,229,145,57.1,93,3,71,"Lap"
"179","L2LLLR",2013-03-12,"RIN","WW","grie",3,"o","n",275,83.3,220,122.2,53.7,89,3,71,"Lap"
"180","L2LLLL",2013-03-12,"RIN","WW","grie",3,"f","n",289,93.8,226,132.9,51.9,88,3,71,"Lap"
"181","Y2RYBY",2003-03-31,"RIN","WW","grie",3,"m","n",291,81.2,220,118,50.2,86,3,90,"Lap"
"182","R1BRRR",2008-08-31,"RIN","WW","grie",3,"f","j",335,101.8,226,137,54.9,93,8,244,"Lap"
"183","R1BRBB",2008-09-27,"RIN","WW","grie",3,"m","j",246,83.7,999,119,51.8,88,9,271,"Lap"
"187","R1BRRB",2008-08-31,"RIN","WW","grie",3,"m","j",252,78.6,208,117,49.9,82,8,244,"Lap"
"189","L2LLLB",2013-03-12,"RIN","WW","grie",3,"f","n",299,96.1,224,141.1,50.8,90,3,71,"Lap"
"190","Y2RYBR",2003-03-31,"RIN","WW","grie",3,"m","n",278,79.6,214,115,50.7,86,3,90,"Lap"
"194","Y7YWBW",2005-02-08,"RIN","WW","grie",3,"m","n",304,82.4,217,120,55.5,92,2,39,"Lap"
"195","Y6YRYW",2007-02-20,"RIN","WW","grie",3,"m","n",289,73.9,214,112.6,54.8,91,2,51,"Lap"
"197","Y7YWBR",2005-02-08,"RIN","WW","grie",3,"f","n",338,97.8,234,137,59.1,99,2,39,"Lap"
"198","Y7YRYR",2005-03-10,"RIN","WW","grie",3,"f","n",339,96.4,232,134,61.9,100,3,69,"Lap"
"200","Y7YRYB",2005-03-10,"RIN","WW","grie",3,"f","n",361,102.4,226,140,60.7,100,3,69,"Lap"
"201","Y7YRWY",2005-03-10,"RIN","WW","grie",3,"m","n",276,74.7,214,112,54.8,89,3,69,"Lap"
"202","Y7YRWW",2005-03-10,"RIN","WW","grie",3,"m","n",287,79.7,218,117,54.4,91,3,69,"Lap"
"203","Y7YRWR",2005-03-10,"RIN","WW","grie",3,"m","n",270,80.3,209,119,53.7,89,3,69,"Lap"
"204","N6YYRY",2015-03-24,"RIN","WW","grie",3,"f","n",346,101.9,233,142.1,56.5,98,3,83,"Lap"
"206","Y7YRYY",2005-02-08,"RIN","WW","grie",3,"f","n",297,105,222,145,58.8,97,2,39,"Lap"
"207","N6YYRN",2015-03-24,"RIN","WW","grie",3,"f","n",300,90.7,224,131.2,52.3,85,3,83,"Lap"
"208","N6YYNP",2015-03-24,"RIN","WW","grie",3,"o","n",279,86,211,122.2,52.6,86,3,83,"Lap"
"209","N6YYNG",2015-03-24,"RIN","WW","grie",3,"m","n",266,77.9,219,115.3,51.6,86,3,83,"Lap"
"210","N6YYNR",2015-03-24,"RIN","WW","grie",3,"m","n",287,79.5,217,115.3,52.9,90,3,83,"Lap"
"211","N6YYNY",2015-03-24,"RIN","WW","grie",3,"f","n",318,100.3,223,141.7,53.7,92,3,83,"Lap"
"212","N6YYYP",2015-03-24,"RIN","WW","grie",3,"m","n",277,76.6,209,114,51.7,89,3,83,"Lap"
"213","N6YYYG",2015-02-17,"RIN","WW","grie",3,"f","n",340,106,228,147,54.1,98,2,48,"Lap"
"214","Y6YRYY",2007-02-19,"RIN","WW","grie",3,"m","n",271,80.5,213,115.9,54.5,90,2,50,"Lap"
"215","Y5WRRR",2005-02-07,"RIN","WW","grie",3,"m","n",300,76.3,216,116,52.8,89,2,38,"Lap"
"218","Y5WRWY",2005-02-07,"RIN","WW","grie",3,"o","n",295,86.7,221,124,56.3,90,2,38,"Lap"
"220","L6RYYB",2013-10-07,"RIN","WW","grie",3,"f","j",292,102.8,227,141.9,58.5,94,10,280,"Lap"
"222","Y5YRRB",2004-03-25,"RIN","WW","grie",3,"f","n",340,103.4,240,145,55.6,94,3,85,"Lap"
"223","Y5WRRB",2005-02-07,"RIN","WW","grie",3,"f","n",335,106.3,226,143,55.8,93,2,38,"Lap"
"225","Y6YBYB",2010-03-16,"RIN","WW","grie",3,"f","n",309,100.7,232,139,59,97,3,75,"Lap"
"226","Y6YBYR",2010-03-16,"RIN","WW","grie",3,"m","n",241,72.5,211,110.7,50.1,86,3,75,"Lap"
"227","Y5RRBW",2005-02-07,"RIN","WW","grie",3,"m","n",295,82,217,120,54.7,88,2,38,"Lap"
"228","Y5RRBR",2005-02-07,"RIN","WW","grie",3,"f","n",310,95.1,218,133,57,96,2,38,"Lap"
"229","Y5RBYY",2005-02-07,"RIN","WW","grie",3,"f","n",352,102.3,232,143,58.3,97,2,38,"Lap"
"230","L6RYLB",2014-03-01,"RIN","WW","grie",2,"m","n",219,76.4,223,111,51.1,84,3,60,"Lap"
"231","L6RYLR",2014-02-28,"RIN","WW","grie",3,"m","n",229,77.5,215,116,47.7,84,2,59,"Lap"
"232","L6RYLL",2014-01-30,"RIN","WW","grie",3,"f","n",262,86.2,213,123.2,56.9,93,1,30,"Lap"
"233","Y7YRWB",2005-03-10,"RIN","WW","grie",3,"f","n",345,101.7,223,141,55.7,94,3,69,"Lap"
"235","Y5YRRR",2004-03-24,"RIN","WW","grie",3,"f","n",369,109.3,238,152,58.9,97,3,84,"Lap"
"237","Y5RBYW",2005-02-08,"RIN","WW","grie",3,"f","n",309,109,225,146,57.3,96,2,39,"Lap"
"238","Y5YRWY",2004-03-24,"RIN","WW","grie",2,"m","n",275,75.7,219,114,52.2,87,3,84,"Lap"
"239","Y7YRRR",2005-03-10,"RIN","WW","grie",3,"m","n",266,82.4,214,119,50.7,86,3,69,"Lap"
"241","Y5RBYR",2005-02-08,"RIN","WW","grie",3,"f","n",324,106.6,233,145,59.3,96,2,39,"Lap"
"242","Y5RBYB",2005-02-08,"RIN","WW","grie",3,"m","n",279,81.1,206,118,51,87,2,39,"Lap"
"243","Y5RBWR",2005-02-08,"RIN","WW","grie",2,"f","n",348,105,226,143,62.1,99,2,39,"Lap"
"244","Y7YRRB",2005-03-14,"RIN","WW","grie",3,"m","n",281,77,228,115,52.3,89,3,73,"Lap"
"246","Y7YRRY",2005-03-14,"RIN","WW","grie",3,"m","n",260,76.7,220,114,53.2,89,3,73,"Lap"
"247","Y5YRWB",2004-03-22,"RIN","WW","grie",3,"f","n",331,94.2,225,131,58.5,96,3,82,"Lap"
"249","Y5RBWW",2005-02-08,"RIN","WW","grie",3,"f","n",334,102.7,232,142,60.8,98,2,39,"Lap"
"250","Y3YWRR",2002-11-05,"RIN","OW","so3s",4,"m","n",304,83,212,999,52,999,11,309,"Lap"
"252","R4BYYR",2009-08-22,"RIN","OW","so3s",3,"f","j",336,94.4,227,999,53.9,999,8,234,"Lap"
"256","R2YWBW",2007-10-14,"RIN","OW","so3s",4,"m","j",258,78,218,999,52,74,10,287,"Lap"
"265","Y3YWRW",2002-11-06,"RIN","OW","so3s",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,310,"Lap"
"266","Y3YWRY",2002-11-05,"RIN","OW","so3s",4,"f","n",361,97,224,999,52.5,999,11,309,"Lap"
"267","Y3YWWB",2002-11-05,"RIN","OW","so3s",4,"m","n",295,76.6,199,999,48.4,999,11,309,"Lap"
"268","Y3YWWR",2002-11-05,"RIN","OW","so3s",4,"f","n",309,97.3,219,999,52,999,11,309,"Lap"
"269","Y3YWWW",2002-11-05,"RIN","OW","so3s",4,"m","j",280,74.4,999,999,50.7,999,11,309,"Lap"
"270","Y3YWWY",2002-11-05,"RIN","OW","so3s",4,"m","n",309,77.1,212,999,49.1,999,11,309,"Lap"
"271","Y3YWYB",2002-11-05,"RIN","OW","so3s",4,"m","n",226,75.2,207,999,51.6,999,11,309,"Lap"
"272","Y3YWYR",2002-10-09,"RIN","OW","so3s",4,"m","n",273,75.2,211,999,53.5,83,10,282,"Lap"
"274","Y3YWYW",2002-10-09,"RIN","OW","so3s",4,"m","j",288,82.2,217,999,54.6,86,10,282,"Lap"
"275","Y3YWYY",2002-10-09,"RIN","OW","so3s",4,"m","j",253,77.8,209,999,53.4,82,10,282,"Lap"
"276","Y3YYBB",2002-10-08,"RIN","OW","so3s",4,"m","j",246,67.5,999,999,50.3,999,10,281,"Lap"
"280","R2YYRY",2006-09-25,"RIN","OW","so3s",4,"m","j",270,80.2,220,999,51.6,81,9,268,"Lap"
"283","R2YYRW",2006-09-25,"RIN","OW","so3s",4,"m","j",246,80.4,217,999,49.1,78,9,268,"Lap"
"290","Y3YWBB",2002-11-06,"RIN","OW","so3s",4,"m","j",290,77.9,999,999,52.2,999,11,310,"Lap"
"293","R2YYBW",2006-09-30,"RIN","OW","so3s",4,"f","j",286,88,227,999,54.4,999,9,273,"Lap"
"295","R2YYRB",2006-09-24,"RIN","OW","so3s",4,"f","j",272,84.2,221,999,58,999,9,267,"Lap"
"302","R2YYWY",2006-09-24,"RIN","OW","so3s",4,"f","j",304,92,226,999,53.6,999,9,267,"Lap"
"306","R2YYWB",2006-09-24,"RIN","OW","so3s",4,"f","j",282,99.1,222,999,56.9,999,9,267,"Lap"
"307","R4BWWR",2009-10-22,"RIN","OW","so3s",4,"f","n",346,102.6,224,999,56.9,91,10,295,"Lap"
"317","Y3YYRW",2002-10-08,"RIN","OW","so3s",4,"f","n",296,103.3,220,999,56.2,999,10,281,"Lap"
"321","R4YYWR",2007-10-20,"RIN","OW","so3s",4,"m","n",269,86.2,215,999,53.2,86,10,293,"Lap"
"323","R4YYWY",2007-10-20,"RIN","OW","so3s",4,"m","j",263,78.4,999,999,51.4,80,10,293,"Lap"
"324","R4YYYB",2007-10-14,"RIN","OW","so3s",4,"m","n",255,78.3,207,999,48.8,78,10,287,"Lap"
"325","R4YYYR",2007-10-14,"RIN","OW","so3s",4,"f","j",308,98.2,233,999,55.1,86,10,287,"Lap"
"326","R4YYYW",2007-10-14,"RIN","OW","so3s",4,"f","j",324,108.8,999,999,57.5,81,10,287,"Lap"
"330","L2LRRL",2012-10-18,"RIN","OW","so3s",3,"m","n",301,77.6,215,999,51.4,93,10,292,"Lap"
"341","L2LRRY",2012-10-18,"RIN","OW","so3s",3,"m","n",286,82.1,212,999,52.2,96,10,292,"Lap"
"343","L2LRBY",2012-10-18,"RIN","OW","so3s",3,"f","j",263,90.1,218,999,53.2,96,10,292,"Lap"
"345","L2LRBL",2012-10-18,"RIN","OW","so3s",3,"m","j",266,79.2,214,999,50.5,90,10,292,"Lap"
"346","L2LRBB",2012-10-18,"RIN","OW","so3s",3,"f","n",372,102.2,227,999,57.2,102,10,292,"Lap"
"351","R5YRBY",2010-09-09,"RIN","OW","so3s",4,"f","j",307,94.8,229,999,53.4,999,9,252,"Lap"
"352","L2YLBB",2012-08-18,"RIN","OW","so3s",3,"m","j",255,80.4,210,999,49.6,99,8,231,"Lap"
"371","Y3YYRR",2002-09-09,"RIN","OW","so3s",3,"m","j",308,80.2,999,999,52,83,9,252,"Lap"
"372","R2YYYR",2006-09-24,"RIN","OW","so3s",4,"m","j",257,75.5,999,999,50.7,999,9,267,"Lap"
"374","Y3YYBY",2002-10-08,"RIN","OW","so3s",4,"m","j",234,81.4,214,999,54.3,999,10,281,"Lap"
"379","R5YRRR",2010-09-09,"RIN","OW","so3s",4,"m","j",267,83.7,221,999,52.7,999,9,252,"Lap"
"391","L2YRBR",2012-08-19,"RIN","OW","so3s",3,"m","j",262,78.7,210,999,56.4,99,8,232,"Lap"
"399","L2LBYL",2012-10-18,"RIN","OW","so3s",3,"f","n",365,103.1,239,999,58.4,107,10,292,"Lap"
"400","Y1WYRR",2001-10-16,"RIN","OW","so3s",4,"f","o",314,96.5,217,999,55,999,10,289,"Lap"
"408","Y1YRRY",2001-08-22,"RIN","OW","so3s",NA,NA,NA,999,NA,NA,999,NA,NA,8,234,"Lap"
"413","Y1YRYB",2001-07-26,"RIN","OW","so3s",4,"m","n",221,70.5,220,999,49.3,999,7,207,"Lap"
"418","Y1YWBR",2001-07-24,"RIN","OW","so3s",4,"m","n",204,75.7,212,999,50.2,999,7,205,"Lap"
"422","Y1YWWY",2001-08-25,"RIN","OW","so3s",4,"m","j",291,77.5,NA,999,52.4,999,8,237,"Lap"
"424","Y1WYBR",2001-10-18,"RIN","OW","so3s",4,"m","j",280,86.1,999,999,52.5,999,10,291,"Lap"
"425","Y1WYBW",2001-10-17,"RIN","OW","so3s",4,"m","j",251,81.1,999,999,52.4,999,10,290,"Lap"
"430","Y1WYRW",2001-10-16,"RIN","OW","so3s",4,"f","o",294,102.9,217,999,55.8,999,10,289,"Lap"
"432","Y1RRYY",2001-10-18,"RIN","OW","so3s",4,"f","j",308,107.3,999,999,59.1,999,10,291,"Lap"
"433","Y1RRYW",2001-10-18,"RIN","OW","so3s",4,"m","j",254,74.6,210,999,52.7,999,10,291,"Lap"
"436","Y1RRWY",2001-10-19,"RIN","OW","so3s",4,"m","j",286,80.9,999,999,52.9,999,10,292,"Lap"
"440","Y1YBRR",2001-08-25,"RIN","OW","so3s",3,"f","j",340,108.5,235,999,57.6,999,8,237,"Lap"
"443","Y1RRRW",2001-10-19,"RIN","OW","so3s",4,"m","n",298,83,225,999,52.4,999,10,292,"Lap"
"444","L2LBYY",2012-10-18,"RIN","OW","so3s",3,"m","n",312,84.6,220,999,52.6,95,10,292,"Lap"
"445","Y1RRRB",2001-10-19,"RIN","OW","so3s",4,"m","j",264,82.2,218,999,49.6,999,10,292,"Lap"
"446","Y1RRBY",2001-10-19,"RIN","OW","so3s",4,"m","j",240,82.9,999,999,52.7,999,10,292,"Lap"
"447","Y1RRBB",2001-10-19,"RIN","OW","so3s",4,"f","j",319,108,999,999,60.7,999,10,292,"Lap"
"452","Y1YBWY",2001-08-25,"RIN","OW","so3s",3,"m","n",302,83,223,999,53.9,999,8,237,"Lap"
"457","Y1BRRY",2001-08-24,"RIN","OW","so3s",4,"m","j",294,83.9,NA,999,50.7,999,8,236,"Lap"
"458","Y1RRRY",2001-10-19,"RIN","OW","so3s",4,"m","j",270,78,999,999,49.1,999,10,292,"Lap"
"459","Y5WYWB",2003-09-28,"RIN","OW","so3s",4,"f","j",348,111.4,239,999,61.2,999,9,271,"Lap"
"463","Y5WYRB",2003-10-27,"RIN","OW","so3s",4,"m","j",219,84.5,218,999,51.5,999,10,300,"Lap"
"464","Y5WYBY",2003-10-27,"RIN","OW","so3s",4,"m","j",254,86.1,999,999,52.2,999,10,300,"Lap"
"465","Y5WYBR",2003-10-27,"RIN","OW","so3s",4,"f","j",306,94.7,999,999,54.9,999,10,300,"Lap"
"466","Y5WYBB",2003-10-27,"RIN","OW","so3s",4,"f","n",386,99.1,223,999,57.9,999,10,300,"Lap"
"489","L6RLBY",2013-10-05,"RIN","OW","so3s",3,"f",NA,368,101.5,220,NA,59,NA,10,278,"Lap"
"513","N6PYYN",2014-09-27,"RIN","OW","so3s",3,"f",NA,429,98.1,228,NA,54.6,NA,9,270,"Lap"
"516","Y5RRRB",2004-10-16,"RIN","OW","so3s",4,"f","j",322,97,999,999,54.3,999,10,290,"Lap"
"526","Y5WBYB",2003-07-31,"RIN","OW","so3s",4,"f","n",404,94,232,999,56.1,999,7,212,"Lap"
"528","Y5WBRB",2003-08-28,"RIN","OW","so3s",4,"f","j",278,88.3,217,999,50.8,999,8,240,"Lap"
"529","Y8RRYY",2005-10-07,"RIN","OW","so3s",4,"m","j",252,82.7,207,999,50.1,999,10,280,"Lap"
"530","Y8RRYW",2005-10-07,"RIN","OW","so3s",4,"m","n",274,73.2,210,999,51.1,999,10,280,"Lap"
"532","Y5WBRW",2003-08-28,"RIN","OW","so3s",4,"m","j",260,82.3,211,999,52.4,999,8,240,"Lap"
"533","Y5WBRY",2003-08-28,"RIN","OW","so3s",4,"m","j",264,82.3,215,999,55.1,999,8,240,"Lap"
"535","L6BBBL",2014-01-01,"RIN","OW","so3s",3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Lap"
"540","Y5WBYY",2003-07-31,"RIN","OW","so3s",4,"f","j",338,112.8,233,999,57.4,999,7,212,"Lap"
"543","Y5WRBW",2003-07-30,"RIN","OW","so3s",4,"m","n",216,81.8,212,999,51.5,999,7,211,"Lap"
"547","Y8WYBY",2005-10-05,"RIN","OW","so3s",4,"m","j",273,79.6,212,999,53.1,999,10,278,"Lap"
"549","Y5RRRR",2004-09-15,"RIN","OW","so3s",3,"f","n",282,107.3,220,999,59.7,999,9,259,"Lap"
"556","Y5WBBW",2003-08-28,"RIN","OW","so3s",4,"o","n",402,83.4,212,999,54,999,8,240,"Lap"
"558","Y5WBBR",2003-08-30,"RIN","OW","so3s",4,"f","j",332,112,999,999,54,999,8,242,"Lap"
"562","Y5RRWY",2004-09-15,"RIN","OW","so3s",3,"m","j",240,80,999,999,51.3,999,9,259,"Lap"
"564","Y5RRYR",2003-10-27,"RIN","OW","so3s",4,"f","n",340,95,225,999,56.5,999,10,300,"Lap"
"570","Y8RRYR",2005-10-07,"RIN","OW","so3s",4,"f","j",296,96.4,225,999,57.1,999,10,280,"Lap"
"581","Y1BBRY",2001-04-27,"RIN","WW","heng",3,"m","n",231,80.1,211,117,52.1,86,4,117,"Lap"
"589","Y1RWRR",2001-04-26,"RIN","WW","heng",3,"m","n",219,80.1,223,116,52.8,91,4,116,"Lap"
"601","Y1RBRY",2002-04-19,"RIN","WW","heng",2,"m","n",187,79.4,217,117,54.2,88,4,109,"Lap"
"617","Y6YBYY",2009-09-24,"RIN","WW","heng",3,"f","j",301,93.7,223,133,56.5,94,9,267,"Lap"
"620","Y6YRRW",2009-09-20,"RIN","WW","heng",3,"m","j",239,75.5,213,113,50.1,84,9,263,"Lap"
"623","Y6YRRY",2009-09-19,"RIN","WW","heng",3,"m","j",271,82.6,999,121,53.8,88,9,262,"Lap"
"624","Y6YRWY",2009-09-19,"RIN","WW","heng",3,"m","j",282,84.9,999,125,55,92,9,262,"Lap"
"759","Y1WBRY",2001-05-11,"RIN","HK","vbc",3,"f","n",233,95.4,220,130,57.1,999,5,131,"Lap"
"761","Y1WBRR",2001-05-11,"RIN","HK","vbc",3,"f","n",249,94.5,235,135,61.1,999,5,131,"Lap"
"769","Y1YBBB",2001-04-28,"RIN","HK","vbc",3,"m","n",185,78.6,217,115,51.2,999,4,118,"Lap"
"770","Y1WYYY",2001-05-12,"RIN","HK","vbc",3,"f","n",239,98.3,230,134,57.1,999,5,132,"Lap"
"790","Y1WWBW",2001-05-10,"RIN","HK","vbc",3,"m","n",183,76.3,207,999,48.4,999,5,130,"Lap"
"866","Y3WRBB",2003-05-07,"RIN","HK","vbc",3,"f","n",248,94.3,221,130.4,54.4,999,5,127,"Lap"
"920","Y2RRYY",2002-05-13,"RIN","HK","vbc",3,"f","n",227,90,224,127,57.6,999,5,133,"Lap"
"979","R2RRBR",2007-04-29,"RIN","HK","vbc",3,"f","n",213,99.0999984741211,231,136,999,999,4,119,"Lap"
"992","R2RBRB",2007-04-30,"RIN","HK","vbc",3,"m","n",999,76.0999984741211,220,114.800003051758,999,999,4,120,"Lap"
"1070","R2BWWR",2007-05-06,"RIN","HK","vbc",3,"m","n",221.800003051758,79.0999984741211,215,115.800003051758,999,999,5,126,"Lap"
"1098","R4WBRW",2009-04-29,"RIN","HK","vbc",3,"m","n",184,74,207,114,50,999,4,119,"Lap"
"1122","R4RWYB",2009-05-05,"RIN","HK","vbc",3,"m","n",187,79.5,217,117,53,999,5,125,"Lap"
"1168","R3BYYB",2009-05-05,"RIN","HK","vbc",3,"m","n",205,84,207,121,53,999,5,125,"Lap"
"1246","Y5RYYB",2004-04-28,"RIN","HK","vbc",3,"f","n",214,88.8,229,999,51.4,999,4,119,"Lap"
"1305","L6YBLR",2013-05-05,"RIN","HK","vbc",4,"m","o",184.600006103516,77.5999984741211,205,109.900001525879,48.9000015258789,83,5,125,"Lap"
"1434","R2BYWR",2007-03-06,"RIN","HK","vbc",NA,"f",NA,NA,NA,NA,NA,NA,NA,3,65,"Lap"
"1529","Y7RYWR",2005-05-06,"RIN","HK","vbc",3,"f","n",253,98,233,137,59,999,5,126,"Lap"
"1674","Y8BRYW",2006-05-01,"RIN","HK","vbc",3,"m","n",174,75.4000015258789,207,111.8,51.3,999,5,121,"Lap"
"1728","Y1YYRR",2001-04-26,"RIN","OW","so1s",2,"m","n",256,78.9,212,115,51.2,86,4,116,"Lap"
"1732","Y1YYWB",2001-04-25,"RIN","OW","so1s",3,"f","n",276,103.7,230,143,57.1,97,4,115,"Lap"
"1733","Y1YYWW",2001-04-25,"RIN","OW","so1s",3,"m","n",216,69.3,208,115,48.5,83,4,115,"Lap"
"1738","Y1YYBB",2001-04-27,"RIN","OW","so1s",3,"f","n",254,103.4,225,141,57.8,97,4,117,"Lap"
"1770","Y2BBRY",2003-05-16,"RIN","WW","tex7",4,"m","n",280,76.4,219,999,999,90,5,136,"Lap"
"1776","Y2RWBW",2003-05-16,"RIN","WW","tex7",4,"m","n",291,77.7,215,999,999,90,5,136,"Lap"
